Title,Bucket,Level,Domain,Practice ID,Parent,Task Type,Priority,Owner,Supporting Owners,Dependencies,Labels,Description,Definition of Done
Collect evidence for SC.L2-3.13.7,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.7,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.7 Split Tunneling; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.7,Collect artifact and operational proof for SC.L2-3.13.7 Split Tunneling.,"Evidence for SC.L2-3.13.7 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.7 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.7,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.7,L2;SC;Remediation;SC.L2-3.13.7,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.7 Split Tunneling.",Gaps for SC.L2-3.13.7 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.8 Data in Transit,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.8,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.8,Validate implementation of SC.L2-3.13.8 Data in Transit in the live CUI environment.,SC.L2-3.13.8 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.8,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.8,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.8 Data in Transit; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.8,Collect artifact and operational proof for SC.L2-3.13.8 Data in Transit.,"Evidence for SC.L2-3.13.8 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.8 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.8,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.8,L2;SC;Remediation;SC.L2-3.13.8,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.8 Data in Transit.",Gaps for SC.L2-3.13.8 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.9 Connections Termination,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.9,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.9,Validate implementation of SC.L2-3.13.9 Connections Termination in the live CUI environment.,SC.L2-3.13.9 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.9,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.9,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.9 Connections Termination; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.9,Collect artifact and operational proof for SC.L2-3.13.9 Connections Termination.,"Evidence for SC.L2-3.13.9 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.9 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.9,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.9,L2;SC;Remediation;SC.L2-3.13.9,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.9 Connections Termination.",Gaps for SC.L2-3.13.9 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.10 Key Management,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.10,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.10,Validate implementation of SC.L2-3.13.10 Key Management in the live CUI environment.,SC.L2-3.13.10 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.10,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.10,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.10 Key Management; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.10,Collect artifact and operational proof for SC.L2-3.13.10 Key Management.,"Evidence for SC.L2-3.13.10 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.10 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.10,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.10,L2;SC;Remediation;SC.L2-3.13.10,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.10 Key Management.",Gaps for SC.L2-3.13.10 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.11 CUI Encryption,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.11,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.11,Validate implementation of SC.L2-3.13.11 CUI Encryption in the live CUI environment.,SC.L2-3.13.11 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.11,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.11,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.11 CUI Encryption; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.11,Collect artifact and operational proof for SC.L2-3.13.11 CUI Encryption.,"Evidence for SC.L2-3.13.11 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.11 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.11,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.11,L2;SC;Remediation;SC.L2-3.13.11,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.11 CUI Encryption.",Gaps for SC.L2-3.13.11 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.12 Collaborative Device Control,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.12,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.12,Validate implementation of SC.L2-3.13.12 Collaborative Device Control in the live CUI environment.,SC.L2-3.13.12 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.12,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.12,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.12 Collaborative Device Control; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.12,Collect artifact and operational proof for SC.L2-3.13.12 Collaborative Device Control.,"Evidence for SC.L2-3.13.12 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.12 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.12,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.12,L2;SC;Remediation;SC.L2-3.13.12,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.12 Collaborative Device Control.",Gaps for SC.L2-3.13.12 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.13 Mobile Code,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.13,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.13,Validate implementation of SC.L2-3.13.13 Mobile Code in the live CUI environment.,SC.L2-3.13.13 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.13,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.13,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.13 Mobile Code; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.13,Collect artifact and operational proof for SC.L2-3.13.13 Mobile Code.,"Evidence for SC.L2-3.13.13 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.13 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.13,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.13,L2;SC;Remediation;SC.L2-3.13.13,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.13 Mobile Code.",Gaps for SC.L2-3.13.13 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.14 Voice over Internet Protocol,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.14,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.14,Validate implementation of SC.L2-3.13.14 Voice over Internet Protocol in the live CUI environment.,SC.L2-3.13.14 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.14,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.14,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.14 Voice over Internet Protocol; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.14,Collect artifact and operational proof for SC.L2-3.13.14 Voice over Internet Protocol.,"Evidence for SC.L2-3.13.14 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.14 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.14,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.14,L2;SC;Remediation;SC.L2-3.13.14,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.14 Voice over Internet Protocol.",Gaps for SC.L2-3.13.14 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.15 Communications Authenticity,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.15,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.15,Validate implementation of SC.L2-3.13.15 Communications Authenticity in the live CUI environment.,SC.L2-3.13.15 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.15,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.15,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.15 Communications Authenticity; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.15,Collect artifact and operational proof for SC.L2-3.13.15 Communications Authenticity.,"Evidence for SC.L2-3.13.15 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.15 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.15,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.15,L2;SC;Remediation;SC.L2-3.13.15,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.15 Communications Authenticity.",Gaps for SC.L2-3.13.15 are closed or formally tracked in the POA&M with owner and due date.
Validate SC.L2-3.13.16 Data at Rest,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.16,Complete SC Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SC Level 2 policy and procedure; SSP,L2;SC;Practice;SC.L2-3.13.16,Validate implementation of SC.L2-3.13.16 Data at Rest in the live CUI environment.,SC.L2-3.13.16 is implemented or a concrete gap is documented.
Collect evidence for SC.L2-3.13.16,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.16,Complete SC Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SC.L2-3.13.16 Data at Rest; Level 2 evidence index,L2;SC;Evidence;SC.L2-3.13.16,Collect artifact and operational proof for SC.L2-3.13.16 Data at Rest.,"Evidence for SC.L2-3.13.16 is current, stored, and mapped in the evidence index."
Remediate SC.L2-3.13.16 gaps,L2 System & Comms Protection,Level 2,SC,SC.L2-3.13.16,Complete SC Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SC.L2-3.13.16,L2;SC;Remediation;SC.L2-3.13.16,"Close any documentation, implementation, or evidence gaps found for SC.L2-3.13.16 Data at Rest.",Gaps for SC.L2-3.13.16 are closed or formally tracked in the POA&M with owner and due date.
Complete SI Level 2 family readiness,L2 System & Info Integrity,Level 2,SI,,,Epic,High,Joshua Hornback,Sulaiman Ahmad,Level 2 SSP; owner matrix; evidence index,L2;SI;Epic;Family,"Complete Level 2 SI documentation, implementation validation, evidence, review, and approval.",SI Level 2 family package is complete and traceable to all applicable practices.
Finalize SI Level 2 policy,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Policy,Critical,Joshua Hornback,Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;SI;Policy,Create and tailor the Level 2 SI policy to the live CUI environment.,"Policy is approved, environment-specific, and mapped to practices."
Finalize SI Level 2 procedure,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Procedure,Critical,Joshua Hornback,Sulaiman Ahmad,L2 gap register; SSP; existing templates,L2;SI;Procedure,Create and tailor the Level 2 SI procedure to the live CUI environment.,"Procedure is approved, operationally accurate, and linked to evidence sources."
Validate SI Level 2 family implementation,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Implementation,Critical,Joshua Hornback,Sulaiman Ahmad,SI policy and procedure; SSP,L2;SI;Implementation,"Validate the family-level implementation approach, records, system behavior, and operating cadence for SI.",Family-level implementation checks are complete and deficiencies are recorded.
Collect SI Level 2 family evidence set,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,SI implementation validation; Level 2 evidence index,L2;SI;Evidence,Assemble the baseline artifact and proof set for the Level 2 SI family.,"The family evidence set is complete, current, and referenced in the evidence index."
Review SI Level 2 family package,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Review,High,Sulaiman Ahmad,Sulaiman Ahmad,SI family evidence set; POA&M,L2;SI;Review,"Review the full Level 2 SI package for completeness, traceability, and assessment readiness.",The family package passes internal review or has tracked corrective actions.
Approve SI Level 2 family package,L2 System & Info Integrity,Level 2,SI,,Complete SI Level 2 family readiness,Approval,High,Ryan Lin,Joshua Hornback,SI family review complete,L2;SI;Approval;Executive,Approve the Level 2 SI package for inclusion in the final readiness set.,Leadership approval or explicit residual risk acceptance is recorded.
Validate SI.L2-3.14.1 Identify and Correct System Flaws,L2 System & Info Integrity,Level 2,SI,SI.L2-3.14.1,Complete SI Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 2 policy and procedure; SSP,L2;SI;Practice;SI.L2-3.14.1,Validate implementation of SI.L2-3.14.1 Identify and Correct System Flaws in the live CUI environment.,SI.L2-3.14.1 is implemented or a concrete gap is documented.
Collect evidence for SI.L2-3.14.1,L2 System & Info Integrity,Level 2,SI,SI.L2-3.14.1,Complete SI Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L2-3.14.1 Identify and Correct System Flaws; Level 2 evidence index,L2;SI;Evidence;SI.L2-3.14.1,Collect artifact and operational proof for SI.L2-3.14.1 Identify and Correct System Flaws.,"Evidence for SI.L2-3.14.1 is current, stored, and mapped in the evidence index."
Remediate SI.L2-3.14.1 gaps,L2 System & Info Integrity,Level 2,SI,SI.L2-3.14.1,Complete SI Level 2 family readiness,Remediation,Critical,Joshua Hornback,Sulaiman Ahmad,POA&M; evidence review for SI.L2-3.14.1,L2;SI;Remediation;SI.L2-3.14.1,"Close any documentation, implementation, or evidence gaps found for SI.L2-3.14.1 Identify and Correct System Flaws.",Gaps for SI.L2-3.14.1 are closed or formally tracked in the POA&M with owner and due date.
Validate SI.L2-3.14.2 Provide Protection from Malicious Code,L2 System & Info Integrity,Level 2,SI,SI.L2-3.14.2,Complete SI Level 2 family readiness,Practice,Critical,Joshua Hornback,Sulaiman Ahmad,SI Level 2 policy and procedure; SSP,L2;SI;Practice;SI.L2-3.14.2,Validate implementation of SI.L2-3.14.2 Provide Protection from Malicious Code in the live CUI environment.,SI.L2-3.14.2 is implemented or a concrete gap is documented.
Collect evidence for SI.L2-3.14.2,L2 System & Info Integrity,Level 2,SI,SI.L2-3.14.2,Complete SI Level 2 family readiness,Evidence,Critical,Joshua Hornback,Sulaiman Ahmad,Validate SI.L2-3.14.2 Provide Protection from Malicious Code; Level 2 evidence index,L2;SI;Evidence;SI.L2-3.14.2,Collect artifact and operational proof for SI.L2-3.14.2 Provide Protection from Malicious Code.,"Evidence for SI.L2-3.14.2 is current, stored, and mapped in the evidence index."
